date,origin,destination,mode,passengers,festival,weekend
2025-08-01,Kharagpur,Midnapore,Rail,12298,0,0
2025-08-01,Kharagpur,Midnapore,Bus,7867,0,0
2025-08-01,Midnapore,Uluberia,Rail,14453,0,0
2025-08-01,Midnapore,Uluberia,Bus,7688,0,0
2025-08-01,Uluberia,Howrah,Rail,12848,0,0
2025-08-01,Uluberia,Howrah,Bus,7775,0,0
2025-08-01,Howrah,Kolkata,Rail,16184,0,0
2025-08-01,Howrah,Kolkata,Bus,7099,0,0
2025-08-02,Kharagpur,Midnapore,Rail,21093,1,1
2025-08-02,Kharagpur,Midnapore,Bus,15338,1,1
2025-08-02,Midnapore,Uluberia,Rail,24616,1,1
2025-08-02,Midnapore,Uluberia,Bus,11046,1,1
2025-08-02,Uluberia,Howrah,Rail,23683,1,1
2025-08-02,Uluberia,Howrah,Bus,11094,1,1
2025-08-02,Howrah,Kolkata,Rail,24671,1,1
2025-08-02,Howrah,Kolkata,Bus,10911,1,1
2025-08-03,Kharagpur,Midnapore,Rail,9683,0,1
2025-08-03,Kharagpur,Midnapore,Bus,7056,0,1
2025-08-03,Midnapore,Uluberia,Rail,11360,0,1
2025-08-03,Midnapore,Uluberia,Bus,4589,0,1
2025-08-03,Uluberia,Howrah,Rail,11860,0,1
2025-08-03,Uluberia,Howrah,Bus,6616,0,1
2025-08-03,Howrah,Kolkata,Rail,12793,0,1
2025-08-03,Howrah,Kolkata,Bus,4580,0,1
2025-08-04,Kharagpur,Midnapore,Rail,11673,0,0
2025-08-04,Kharagpur,Midnapore,Bus,8106,0,0
2025-08-04,Midnapore,Uluberia,Rail,13194,0,0
2025-08-04,Midnapore,Uluberia,Bus,6793,0,0
2025-08-04,Uluberia,Howrah,Rail,12610,0,0
2025-08-04,Uluberia,Howrah,Bus,7720,0,0
2025-08-04,Howrah,Kolkata,Rail,14549,0,0
2025-08-04,Howrah,Kolkata,Bus,7945,0,0
2025-08-05,Kharagpur,Midnapore,Rail,11992,0,0
2025-08-05,Kharagpur,Midnapore,Bus,6985,0,0
2025-08-05,Midnapore,Uluberia,Rail,14576,0,0
2025-08-05,Midnapore,Uluberia,Bus,5548,0,0
2025-08-05,Uluberia,Howrah,Rail,13136,0,0
2025-08-05,Uluberia,Howrah,Bus,6119,0,0
2025-08-05,Howrah,Kolkata,Rail,14004,0,0
2025-08-05,Howrah,Kolkata,Bus,6654,0,0
2025-08-06,Kharagpur,Midnapore,Rail,12443,0,0
2025-08-06,Kharagpur,Midnapore,Bus,8165,0,0
2025-08-06,Midnapore,Uluberia,Rail,13919,0,0
2025-08-06,Midnapore,Uluberia,Bus,6265,0,0
2025-08-06,Uluberia,Howrah,Rail,12039,0,0
2025-08-06,Uluberia,Howrah,Bus,7309,0,0
2025-08-06,Howrah,Kolkata,Rail,14655,0,0
2025-08-06,Howrah,Kolkata,Bus,7325,0,0
2025-08-07,Kharagpur,Midnapore,Rail,12206,0,0
2025-08-07,Kharagpur,Midnapore,Bus,6307,0,0
2025-08-07,Midnapore,Uluberia,Rail,14227,0,0
2025-08-07,Midnapore,Uluberia,Bus,6200,0,0
2025-08-07,Uluberia,Howrah,Rail,12560,0,0
2025-08-07,Uluberia,Howrah,Bus,8587,0,0
2025-08-07,Howrah,Kolkata,Rail,15773,0,0
2025-08-07,Howrah,Kolkata,Bus,7226,0,0
2025-08-08,Kharagpur,Midnapore,Rail,11496,0,0
2025-08-08,Kharagpur,Midnapore,Bus,7703,0,0
2025-08-08,Midnapore,Uluberia,Rail,14232,0,0
2025-08-08,Midnapore,Uluberia,Bus,7261,0,0
2025-08-08,Uluberia,Howrah,Rail,12689,0,0
2025-08-08,Uluberia,Howrah,Bus,7822,0,0
2025-08-08,Howrah,Kolkata,Rail,14170,0,0
2025-08-08,Howrah,Kolkata,Bus,5567,0,0
2025-08-09,Kharagpur,Midnapore,Rail,10614,0,1
2025-08-09,Kharagpur,Midnapore,Bus,7907,0,1
2025-08-09,Midnapore,Uluberia,Rail,11857,0,1
2025-08-09,Midnapore,Uluberia,Bus,6190,0,1
2025-08-09,Uluberia,Howrah,Rail,11250,0,1
2025-08-09,Uluberia,Howrah,Bus,6274,0,1
2025-08-09,Howrah,Kolkata,Rail,12980,0,1
2025-08-09,Howrah,Kolkata,Bus,6545,0,1
2025-08-10,Kharagpur,Midnapore,Rail,10182,0,1
2025-08-10,Kharagpur,Midnapore,Bus,8077,0,1
2025-08-10,Midnapore,Uluberia,Rail,10341,0,1
2025-08-10,Midnapore,Uluberia,Bus,6070,0,1
2025-08-10,Uluberia,Howrah,Rail,11098,0,1
2025-08-10,Uluberia,Howrah,Bus,6556,0,1
2025-08-10,Howrah,Kolkata,Rail,12808,0,1
2025-08-10,Howrah,Kolkata,Bus,4207,0,1
2025-08-11,Kharagpur,Midnapore,Rail,11868,0,0
2025-08-11,Kharagpur,Midnapore,Bus,8343,0,0
2025-08-11,Midnapore,Uluberia,Rail,15035,0,0
2025-08-11,Midnapore,Uluberia,Bus,6096,0,0
2025-08-11,Uluberia,Howrah,Rail,12474,0,0
2025-08-11,Uluberia,Howrah,Bus,7518,0,0
2025-08-11,Howrah,Kolkata,Rail,15687,0,0
2025-08-11,Howrah,Kolkata,Bus,6756,0,0
2025-08-12,Kharagpur,Midnapore,Rail,11682,0,0
2025-08-12,Kharagpur,Midnapore,Bus,8493,0,0
2025-08-12,Midnapore,Uluberia,Rail,14068,0,0
2025-08-12,Midnapore,Uluberia,Bus,7256,0,0
2025-08-12,Uluberia,Howrah,Rail,12544,0,0
2025-08-12,Uluberia,Howrah,Bus,7685,0,0
2025-08-12,Howrah,Kolkata,Rail,14706,0,0
2025-08-12,Howrah,Kolkata,Bus,5358,0,0
2025-08-13,Kharagpur,Midnapore,Rail,12178,0,0
2025-08-13,Kharagpur,Midnapore,Bus,8251,0,0
2025-08-13,Midnapore,Uluberia,Rail,14004,0,0
2025-08-13,Midnapore,Uluberia,Bus,6317,0,0
2025-08-13,Uluberia,Howrah,Rail,12080,0,0
2025-08-13,Uluberia,Howrah,Bus,7596,0,0
2025-08-13,Howrah,Kolkata,Rail,14743,0,0
2025-08-13,Howrah,Kolkata,Bus,5874,0,0
2025-08-14,Kharagpur,Midnapore,Rail,11903,0,0
2025-08-14,Kharagpur,Midnapore,Bus,8388,0,0
2025-08-14,Midnapore,Uluberia,Rail,15320,0,0
2025-08-14,Midnapore,Uluberia,Bus,6636,0,0
2025-08-14,Uluberia,Howrah,Rail,13167,0,0
2025-08-14,Uluberia,Howrah,Bus,7929,0,0
2025-08-14,Howrah,Kolkata,Rail,13561,0,0
2025-08-14,Howrah,Kolkata,Bus,6479,0,0
2025-08-15,Kharagpur,Midnapore,Rail,21665,1,0
2025-08-15,Kharagpur,Midnapore,Bus,18656,1,0
2025-08-15,Midnapore,Uluberia,Rail,24958,1,0
2025-08-15,Midnapore,Uluberia,Bus,12123,1,0
2025-08-15,Uluberia,Howrah,Rail,23359,1,0
2025-08-15,Uluberia,Howrah,Bus,12381,1,0
2025-08-15,Howrah,Kolkata,Rail,28543,1,0
2025-08-15,Howrah,Kolkata,Bus,12756,1,0
2025-08-16,Kharagpur,Midnapore,Rail,10603,0,1
2025-08-16,Kharagpur,Midnapore,Bus,6058,0,1
2025-08-16,Midnapore,Uluberia,Rail,12735,0,1
2025-08-16,Midnapore,Uluberia,Bus,4596,0,1
2025-08-16,Uluberia,Howrah,Rail,11374,0,1
2025-08-16,Uluberia,Howrah,Bus,8587,0,1
2025-08-16,Howrah,Kolkata,Rail,12119,0,1
2025-08-16,Howrah,Kolkata,Bus,5150,0,1
2025-08-17,Kharagpur,Midnapore,Rail,10251,0,1
2025-08-17,Kharagpur,Midnapore,Bus,6389,0,1
2025-08-17,Midnapore,Uluberia,Rail,10977,0,1
2025-08-17,Midnapore,Uluberia,Bus,5570,0,1
2025-08-17,Uluberia,Howrah,Rail,10463,0,1
2025-08-17,Uluberia,Howrah,Bus,7186,0,1
2025-08-17,Howrah,Kolkata,Rail,12164,0,1
2025-08-17,Howrah,Kolkata,Bus,6553,0,1
2025-08-18,Kharagpur,Midnapore,Rail,11530,0,0
2025-08-18,Kharagpur,Midnapore,Bus,7691,0,0
2025-08-18,Midnapore,Uluberia,Rail,14569,0,0
2025-08-18,Midnapore,Uluberia,Bus,5540,0,0
2025-08-18,Uluberia,Howrah,Rail,13148,0,0
2025-08-18,Uluberia,Howrah,Bus,9255,0,0
2025-08-18,Howrah,Kolkata,Rail,13794,0,0
2025-08-18,Howrah,Kolkata,Bus,6644,0,0
2025-08-19,Kharagpur,Midnapore,Rail,12156,0,0
2025-08-19,Kharagpur,Midnapore,Bus,8751,0,0
2025-08-19,Midnapore,Uluberia,Rail,13134,0,0
2025-08-19,Midnapore,Uluberia,Bus,5470,0,0
2025-08-19,Uluberia,Howrah,Rail,13339,0,0
2025-08-19,Uluberia,Howrah,Bus,8285,0,0
2025-08-19,Howrah,Kolkata,Rail,15188,0,0
2025-08-19,Howrah,Kolkata,Bus,6770,0,0
2025-08-20,Kharagpur,Midnapore,Rail,11592,0,0
2025-08-20,Kharagpur,Midnapore,Bus,8223,0,0
2025-08-20,Midnapore,Uluberia,Rail,14205,0,0
2025-08-20,Midnapore,Uluberia,Bus,5943,0,0
2025-08-20,Uluberia,Howrah,Rail,14213,0,0
2025-08-20,Uluberia,Howrah,Bus,8455,0,0
2025-08-20,Howrah,Kolkata,Rail,14107,0,0
2025-08-20,Howrah,Kolkata,Bus,7012,0,0
2025-08-21,Kharagpur,Midnapore,Rail,11415,0,0
2025-08-21,Kharagpur,Midnapore,Bus,8756,0,0
2025-08-21,Midnapore,Uluberia,Rail,14811,0,0
2025-08-21,Midnapore,Uluberia,Bus,5860,0,0
2025-08-21,Uluberia,Howrah,Rail,13626,0,0
2025-08-21,Uluberia,Howrah,Bus,8396,0,0
2025-08-21,Howrah,Kolkata,Rail,15617,0,0
2025-08-21,Howrah,Kolkata,Bus,7979,0,0
2025-08-22,Kharagpur,Midnapore,Rail,11853,0,0
2025-08-22,Kharagpur,Midnapore,Bus,7276,0,0
2025-08-22,Midnapore,Uluberia,Rail,13377,0,0
2025-08-22,Midnapore,Uluberia,Bus,5864,0,0
2025-08-22,Uluberia,Howrah,Rail,12950,0,0
2025-08-22,Uluberia,Howrah,Bus,8328,0,0
